模块,原图,标注图,编号,说明,归一化矩形
大模型调用,059-TDJS_Vision.Node._3_Detection.LargeModel.ParamFormLargeModelDetection.png,046-大模型调用.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
大模型调用,059-TDJS_Vision.Node._3_Detection.LargeModel.ParamFormLargeModelDetection.png,046-大模型调用.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
如果,094-TDJS_Vision.Node._6_LogicTool.If.NodeParamFormIf.png,047-如果.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
如果,094-TDJS_Vision.Node._6_LogicTool.If.NodeParamFormIf.png,047-如果.png,2,设置如果参数,"0.0500,0.3400,0.9500,0.7800"
如果,094-TDJS_Vision.Node._6_LogicTool.If.NodeParamFormIf.png,047-如果.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
定期删除图片,104-TDJS_Vision.Node._7_ResultProcessing.ImageDelete.NodeParamFormImageDelete.png,048-定期删除图片.png,1,选择上游结果或目标目录,"0.0500,0.1000,0.9500,0.3600"
定期删除图片,104-TDJS_Vision.Node._7_ResultProcessing.ImageDelete.NodeParamFormImageDelete.png,048-定期删除图片.png,2,设置定期删除图片参数,"0.0500,0.3400,0.9500,0.7800"
定期删除图片,104-TDJS_Vision.Node._7_ResultProcessing.ImageDelete.NodeParamFormImageDelete.png,048-定期删除图片.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
导出检测表格,103-TDJS_Vision.Node._7_ResultProcessing.GenerateExcelSpreadsheet.ParamFormGenerateExcel.png,049-导出检测表格.png,1,选择导出目录和文件名,"0.0300,0.0800,0.9700,0.3500"
导出检测表格,103-TDJS_Vision.Node._7_ResultProcessing.GenerateExcelSpreadsheet.ParamFormGenerateExcel.png,049-导出检测表格.png,2,选择导出字段和分卷规则,"0.0300,0.3200,0.9700,0.8200"
导出检测表格,103-TDJS_Vision.Node._7_ResultProcessing.GenerateExcelSpreadsheet.ParamFormGenerateExcel.png,049-导出检测表格.png,3,保存导出配置,"0.3000,0.8000,0.7000,0.9800"
延迟执行,100-TDJS_Vision.Node._6_LogicTool.SleepTool.NodeParamFormSleepTool.png,050-延迟执行.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
延迟执行,100-TDJS_Vision.Node._6_LogicTool.SleepTool.NodeParamFormSleepTool.png,050-延迟执行.png,2,设置延迟执行参数,"0.0500,0.3400,0.9500,0.7800"
延迟执行,100-TDJS_Vision.Node._6_LogicTool.SleepTool.NodeParamFormSleepTool.png,050-延迟执行.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
弹窗,095-TDJS_Vision.Node._6_LogicTool.MessageBox.NodeParamFormMessageBox.png,051-弹窗.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
弹窗,095-TDJS_Vision.Node._6_LogicTool.MessageBox.NodeParamFormMessageBox.png,051-弹窗.png,2,设置弹窗参数,"0.0500,0.3400,0.9500,0.7800"
弹窗,095-TDJS_Vision.Node._6_LogicTool.MessageBox.NodeParamFormMessageBox.png,051-弹窗.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
打开光源,078-TDJS_Vision.Node._5_EquipmentCommunication.LightOpen.ParamFormLight.png,052-打开光源.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
打开光源,078-TDJS_Vision.Node._5_EquipmentCommunication.LightOpen.ParamFormLight.png,052-打开光源.png,2,设置打开光源参数,"0.0500,0.3400,0.9500,0.7800"
打开光源,078-TDJS_Vision.Node._5_EquipmentCommunication.LightOpen.ParamFormLight.png,052-打开光源.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
找点,067-TDJS_Vision.Node._4_Measurement.FindPoint.NodeParamFormFindPoint.png,053-找点.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
找点,067-TDJS_Vision.Node._4_Measurement.FindPoint.NodeParamFormFindPoint.png,053-找点.png,2,设置找点关键参数,"0.0200,0.2700,0.4600,0.8400"
找点,067-TDJS_Vision.Node._4_Measurement.FindPoint.NodeParamFormFindPoint.png,053-找点.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
找点,067-TDJS_Vision.Node._4_Measurement.FindPoint.NodeParamFormFindPoint.png,053-找点.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
方案管理,034-TDJS_Vision.Forms.ProcessNew.FormNewProcessWizard.png,054-方案管理.png,1,选择或新建流程,"0.0000,0.0500,0.2000,0.9800"
方案管理,034-TDJS_Vision.Forms.ProcessNew.FormNewProcessWizard.png,054-方案管理.png,2,配置方案流程工作区,"0.1800,0.0500,0.9900,0.9800"
无监督检测,063-TDJS_Vision.Node._3_Detection.Unsupervised.ParamFormUnsupervisedDetection.png,055-无监督检测.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
无监督检测,063-TDJS_Vision.Node._3_Detection.Unsupervised.ParamFormUnsupervisedDetection.png,055-无监督检测.png,2,设置无监督检测关键参数,"0.0200,0.2700,0.4600,0.8400"
无监督检测,063-TDJS_Vision.Node._3_Detection.Unsupervised.ParamFormUnsupervisedDetection.png,055-无监督检测.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
无监督检测,063-TDJS_Vision.Node._3_Detection.Unsupervised.ParamFormUnsupervisedDetection.png,055-无监督检测.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
条件运行,092-TDJS_Vision.Node._6_LogicTool.ConditionRun.NodeParamFormConditionRun.png,056-条件运行.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
条件运行,092-TDJS_Vision.Node._6_LogicTool.ConditionRun.NodeParamFormConditionRun.png,056-条件运行.png,2,设置条件运行参数,"0.0500,0.3400,0.9500,0.7800"
条件运行,092-TDJS_Vision.Node._6_LogicTool.ConditionRun.NodeParamFormConditionRun.png,056-条件运行.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
检测结果显示,038-TDJS_Vision.Forms.ResultView.FrmResultView.png,057-检测结果显示.png,1,选择上游结果或目标目录,"0.0500,0.1000,0.9500,0.3600"
检测结果显示,038-TDJS_Vision.Forms.ResultView.FrmResultView.png,057-检测结果显示.png,2,设置检测结果显示参数,"0.0500,0.3400,0.9500,0.7800"
检测结果显示,038-TDJS_Vision.Forms.ResultView.FrmResultView.png,057-检测结果显示.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
检测项配置,016-TDJS_Vision.Forms.DetectItemManager.FormDetectItemManager.png,058-检测项配置.png,1,选择检测项文件和刷新列表,"0.0100,0.0600,0.9900,0.2800"
检测项配置,016-TDJS_Vision.Forms.DetectItemManager.FormDetectItemManager.png,058-检测项配置.png,2,配置检测项名称和规格,"0.0100,0.2600,0.9900,0.8800"
检测项配置,016-TDJS_Vision.Forms.DetectItemManager.FormDetectItemManager.png,058-检测项配置.png,3,添加、导出并保存检测项,"0.4800,0.1200,0.9900,0.2900"
模版匹配,060-TDJS_Vision.Node._3_Detection.MatchTemplate.NodeParamFormMatchTemplate.png,059-模版匹配.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
模版匹配,060-TDJS_Vision.Node._3_Detection.MatchTemplate.NodeParamFormMatchTemplate.png,059-模版匹配.png,2,设置模版匹配关键参数,"0.0200,0.2700,0.4600,0.8400"
模版匹配,060-TDJS_Vision.Node._3_Detection.MatchTemplate.NodeParamFormMatchTemplate.png,059-模版匹配.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
模版匹配,060-TDJS_Vision.Node._3_Detection.MatchTemplate.NodeParamFormMatchTemplate.png,059-模版匹配.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
流程信号,097-TDJS_Vision.Node._6_LogicTool.ProcessSignal.NodeParamFormProcessSignal.png,060-流程信号.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
流程信号,097-TDJS_Vision.Node._6_LogicTool.ProcessSignal.NodeParamFormProcessSignal.png,060-流程信号.png,2,设置流程信号参数,"0.0500,0.3400,0.9500,0.7800"
流程信号,097-TDJS_Vision.Node._6_LogicTool.ProcessSignal.NodeParamFormProcessSignal.png,060-流程信号.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
流程画布,002-平台基础-主界面-停止运行状态.png,061-流程画布.png,1,选择需要编辑的流程,"0.0000,0.1000,0.3600,0.1800"
流程画布,002-平台基础-主界面-停止运行状态.png,061-流程画布.png,2,拖拽节点并搭建流程,"0.0200,0.1700,0.9900,0.9900"
流程管理,034-TDJS_Vision.Forms.ProcessNew.FormNewProcessWizard.png,062-流程管理.png,1,选择流程类型,"0.0000,0.0500,0.2000,0.9800"
流程管理,034-TDJS_Vision.Forms.ProcessNew.FormNewProcessWizard.png,062-流程管理.png,2,新增、切换和组织流程,"0.1800,0.0500,0.9900,0.1800"
点到区域距离,071-TDJS_Vision.Node._4_Measurement.PointRegionDistance.NodeParamFormPointRegionDistance.png,063-点到区域距离.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
点到区域距离,071-TDJS_Vision.Node._4_Measurement.PointRegionDistance.NodeParamFormPointRegionDistance.png,063-点到区域距离.png,2,设置点到区域距离关键参数,"0.0200,0.2700,0.4600,0.8400"
点到区域距离,071-TDJS_Vision.Node._4_Measurement.PointRegionDistance.NodeParamFormPointRegionDistance.png,063-点到区域距离.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
点到区域距离,071-TDJS_Vision.Node._4_Measurement.PointRegionDistance.NodeParamFormPointRegionDistance.png,063-点到区域距离.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
点到点距离,070-TDJS_Vision.Node._4_Measurement.PointPointDistance.NodeParamFormPointPointDistance.png,064-点到点距离.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
点到点距离,070-TDJS_Vision.Node._4_Measurement.PointPointDistance.NodeParamFormPointPointDistance.png,064-点到点距离.png,2,设置点到点距离关键参数,"0.0200,0.2700,0.4600,0.8400"
点到点距离,070-TDJS_Vision.Node._4_Measurement.PointPointDistance.NodeParamFormPointPointDistance.png,064-点到点距离.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
点到点距离,070-TDJS_Vision.Node._4_Measurement.PointPointDistance.NodeParamFormPointPointDistance.png,064-点到点距离.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
点到线距离,069-TDJS_Vision.Node._4_Measurement.PointLineDistance.NodeParamFormPointLineDistance.png,065-点到线距离.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
点到线距离,069-TDJS_Vision.Node._4_Measurement.PointLineDistance.NodeParamFormPointLineDistance.png,065-点到线距离.png,2,设置点到线距离关键参数,"0.0200,0.2700,0.4600,0.8400"
点到线距离,069-TDJS_Vision.Node._4_Measurement.PointLineDistance.NodeParamFormPointLineDistance.png,065-点到线距离.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
点到线距离,069-TDJS_Vision.Node._4_Measurement.PointLineDistance.NodeParamFormPointLineDistance.png,065-点到线距离.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
用户登录与权限,028-TDJS_Vision.Forms.Login.FormLogin.png,066-用户登录与权限.png,1,选择人员角色并输入权限密码,"0.1800,0.2400,0.8400,0.7000"
用户登录与权限,028-TDJS_Vision.Forms.Login.FormLogin.png,066-用户登录与权限.png,2,登录或退出当前角色,"0.1800,0.6700,0.8400,0.9400"
电池极耳检测,054-TDJS_Vision.Node._3_Detection.BatteryEar.NodeParamFormBatteryEar.png,067-电池极耳检测.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
电池极耳检测,054-TDJS_Vision.Node._3_Detection.BatteryEar.NodeParamFormBatteryEar.png,067-电池极耳检测.png,2,设置电池极耳检测关键参数,"0.0200,0.2700,0.4600,0.8400"
电池极耳检测,054-TDJS_Vision.Node._3_Detection.BatteryEar.NodeParamFormBatteryEar.png,067-电池极耳检测.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
电池极耳检测,054-TDJS_Vision.Node._3_Detection.BatteryEar.NodeParamFormBatteryEar.png,067-电池极耳检测.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
监听全局信号,082-TDJS_Vision.Node._5_EquipmentCommunication.PlcRead.ParamFormFlagRead.png,068-监听全局信号.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
监听全局信号,082-TDJS_Vision.Node._5_EquipmentCommunication.PlcRead.ParamFormFlagRead.png,068-监听全局信号.png,2,设置监听全局信号参数,"0.0500,0.3400,0.9500,0.7800"
监听全局信号,082-TDJS_Vision.Node._5_EquipmentCommunication.PlcRead.ParamFormFlagRead.png,068-监听全局信号.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
直线检测,058-TDJS_Vision.Node._3_Detection.FindLine.NodeParamFormFindLine.png,069-直线检测.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
直线检测,058-TDJS_Vision.Node._3_Detection.FindLine.NodeParamFormFindLine.png,069-直线检测.png,2,设置直线检测关键参数,"0.0200,0.2700,0.4600,0.8400"
直线检测,058-TDJS_Vision.Node._3_Detection.FindLine.NodeParamFormFindLine.png,069-直线检测.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
直线检测,058-TDJS_Vision.Node._3_Detection.FindLine.NodeParamFormFindLine.png,069-直线检测.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
相机IO,074-TDJS_Vision.Node._5_EquipmentCommunication.CameraIO.ParamFormCameraIO.png,070-相机IO.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
相机IO,074-TDJS_Vision.Node._5_EquipmentCommunication.CameraIO.ParamFormCameraIO.png,070-相机IO.png,2,设置相机IO参数,"0.0500,0.3400,0.9500,0.7800"
相机IO,074-TDJS_Vision.Node._5_EquipmentCommunication.CameraIO.ParamFormCameraIO.png,070-相机IO.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
相机IO手动控制,075-TDJS_Vision.Node._5_EquipmentCommunication.CamerIOImprovement.ParamFormCameraIOManual.png,071-相机IO手动控制.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
相机IO手动控制,075-TDJS_Vision.Node._5_EquipmentCommunication.CamerIOImprovement.ParamFormCameraIOManual.png,071-相机IO手动控制.png,2,设置相机IO手动控制参数,"0.0500,0.3400,0.9500,0.7800"
相机IO手动控制,075-TDJS_Vision.Node._5_EquipmentCommunication.CamerIOImprovement.ParamFormCameraIOManual.png,071-相机IO手动控制.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
科锐IO模块,077-TDJS_Vision.Node._5_EquipmentCommunication.ERUIIO.ParamFormERUIIO.png,072-科锐IO模块.png,1,选择通信设备或信号来源,"0.0500,0.1000,0.9500,0.3600"
科锐IO模块,077-TDJS_Vision.Node._5_EquipmentCommunication.ERUIIO.ParamFormERUIIO.png,072-科锐IO模块.png,2,设置科锐IO模块参数,"0.0500,0.3400,0.9500,0.7800"
科锐IO模块,077-TDJS_Vision.Node._5_EquipmentCommunication.ERUIIO.ParamFormERUIIO.png,072-科锐IO模块.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
等待流程完成,101-TDJS_Vision.Node._6_LogicTool.WaitProcessComplete.NodeParamFormWaitProcessComplete.png,073-等待流程完成.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
等待流程完成,101-TDJS_Vision.Node._6_LogicTool.WaitProcessComplete.NodeParamFormWaitProcessComplete.png,073-等待流程完成.png,2,设置等待流程完成参数,"0.0500,0.3400,0.9500,0.7800"
等待流程完成,101-TDJS_Vision.Node._6_LogicTool.WaitProcessComplete.NodeParamFormWaitProcessComplete.png,073-等待流程完成.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
系统设置,041-TDJS_Vision.Forms.SystemSetting.FrmSystemSetting.png,074-系统设置.png,1,设置软件启动方式,"0.0200,0.0600,0.9800,0.3000"
系统设置,041-TDJS_Vision.Forms.SystemSetting.FrmSystemSetting.png,074-系统设置.png,2,设置默认方案与自动运行,"0.0200,0.2800,0.9800,0.7200"
系统设置,041-TDJS_Vision.Forms.SystemSetting.FrmSystemSetting.png,074-系统设置.png,3,设置日志记录级别,"0.0200,0.7000,0.9800,0.9800"
线到线夹角,068-TDJS_Vision.Node._4_Measurement.LineLineAngle.NodeParamFormLineLineAngle.png,075-线到线夹角.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
线到线夹角,068-TDJS_Vision.Node._4_Measurement.LineLineAngle.NodeParamFormLineLineAngle.png,075-线到线夹角.png,2,设置线到线夹角关键参数,"0.0200,0.2700,0.4600,0.8400"
线到线夹角,068-TDJS_Vision.Node._4_Measurement.LineLineAngle.NodeParamFormLineLineAngle.png,075-线到线夹角.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
线到线夹角,068-TDJS_Vision.Node._4_Measurement.LineLineAngle.NodeParamFormLineLineAngle.png,075-线到线夹角.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
线组合拟合,110-TDJS_Vision.Node._8_GeometryCreation.LineMergeFit.NodeParamFormLineMergeFit.png,076-线组合拟合.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
线组合拟合,110-TDJS_Vision.Node._8_GeometryCreation.LineMergeFit.NodeParamFormLineMergeFit.png,076-线组合拟合.png,2,设置线组合拟合关键参数,"0.0200,0.2700,0.4600,0.8400"
线组合拟合,110-TDJS_Vision.Node._8_GeometryCreation.LineMergeFit.NodeParamFormLineMergeFit.png,076-线组合拟合.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
线组合拟合,110-TDJS_Vision.Node._8_GeometryCreation.LineMergeFit.NodeParamFormLineMergeFit.png,076-线组合拟合.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
组合模块,090-TDJS_Vision.Node._6_LogicTool.CompositeModule.NodeParamFormCompositeModule.png,077-组合模块.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
组合模块,090-TDJS_Vision.Node._6_LogicTool.CompositeModule.NodeParamFormCompositeModule.png,077-组合模块.png,2,设置组合模块参数,"0.0500,0.3400,0.9500,0.7800"
组合模块,090-TDJS_Vision.Node._6_LogicTool.CompositeModule.NodeParamFormCompositeModule.png,077-组合模块.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
组合输入,089-TDJS_Vision.Node._6_LogicTool.CompositeModule.NodeParamFormCompositeInput.png,078-组合输入.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
组合输入,089-TDJS_Vision.Node._6_LogicTool.CompositeModule.NodeParamFormCompositeInput.png,078-组合输入.png,2,设置组合输入参数,"0.0500,0.3400,0.9500,0.7800"
组合输入,089-TDJS_Vision.Node._6_LogicTool.CompositeModule.NodeParamFormCompositeInput.png,078-组合输入.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
组合输出,091-TDJS_Vision.Node._6_LogicTool.CompositeModule.NodeParamFormCompositeOutput.png,079-组合输出.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
组合输出,091-TDJS_Vision.Node._6_LogicTool.CompositeModule.NodeParamFormCompositeOutput.png,079-组合输出.png,2,设置组合输出参数,"0.0500,0.3400,0.9500,0.7800"
组合输出,091-TDJS_Vision.Node._6_LogicTool.CompositeModule.NodeParamFormCompositeOutput.png,079-组合输出.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
结束如果,094-TDJS_Vision.Node._6_LogicTool.If.NodeParamFormIf.png,080-结束如果.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
结束如果,094-TDJS_Vision.Node._6_LogicTool.If.NodeParamFormIf.png,080-结束如果.png,2,设置结束如果参数,"0.0500,0.3400,0.9500,0.7800"
结束如果,094-TDJS_Vision.Node._6_LogicTool.If.NodeParamFormIf.png,080-结束如果.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
结果汇总,109-TDJS_Vision.Node._7_ResultProcessing.ResultSummarize.ParamFormSummarize.png,081-结果汇总.png,1,选择上游结果或目标目录,"0.0500,0.1000,0.9500,0.3600"
结果汇总,109-TDJS_Vision.Node._7_ResultProcessing.ResultSummarize.ParamFormSummarize.png,081-结果汇总.png,2,设置结果汇总参数,"0.0500,0.3400,0.9500,0.7800"
结果汇总,109-TDJS_Vision.Node._7_ResultProcessing.ResultSummarize.ParamFormSummarize.png,081-结果汇总.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
触发同组流程,098-TDJS_Vision.Node._6_LogicTool.ProcessTrigger.NodeParamFormProcessTrigger.png,082-触发同组流程.png,1,选择条件、变量或目标流程,"0.0500,0.1000,0.9500,0.3600"
触发同组流程,098-TDJS_Vision.Node._6_LogicTool.ProcessTrigger.NodeParamFormProcessTrigger.png,082-触发同组流程.png,2,设置触发同组流程参数,"0.0500,0.3400,0.9500,0.7800"
触发同组流程,098-TDJS_Vision.Node._6_LogicTool.ProcessTrigger.NodeParamFormProcessTrigger.png,082-触发同组流程.png,3,保存或确认配置,"0.2400,0.7700,0.7600,0.9700"
运行参数,040-TDJS_Vision.Forms.SolRunParam.FormSolRunParam.png,083-运行参数.png,1,选择通信与运行参数页,"0.0200,0.0800,0.9800,0.2800"
运行参数,040-TDJS_Vision.Forms.SolRunParam.FormSolRunParam.png,083-运行参数.png,2,设置方案运行参数,"0.0200,0.2500,0.9800,0.9000"
运行参数,040-TDJS_Vision.Forms.SolRunParam.FormSolRunParam.png,083-运行参数.png,3,保存运行配置,"0.3500,0.8800,0.6500,0.9900"
运行控制,002-平台基础-主界面-停止运行状态.png,084-运行控制.png,1,单次运行、循环运行与停止,"0.7500,0.0100,0.9900,0.1200"
运行日志,001-平台基础-软件启动-主窗口.png,085-运行日志.png,1,从视图菜单打开运行日志,"0.0500,0.0100,0.1900,0.1000"
运行日志,001-平台基础-软件启动-主窗口.png,085-运行日志.png,2,查看流程运行状态,"0.0200,0.1600,0.9900,0.9900"
颜色识别,056-TDJS_Vision.Node._3_Detection.ColorDiscern.NodeParamFormColorDiscern.png,086-颜色识别.png,1,选择输入图像或上游结果,"0.0200,0.0800,0.4500,0.2900"
颜色识别,056-TDJS_Vision.Node._3_Detection.ColorDiscern.NodeParamFormColorDiscern.png,086-颜色识别.png,2,设置颜色识别关键参数,"0.0200,0.2700,0.4600,0.8400"
颜色识别,056-TDJS_Vision.Node._3_Detection.ColorDiscern.NodeParamFormColorDiscern.png,086-颜色识别.png,3,查看 ROI 或运行效果,"0.4400,0.0800,0.9800,0.8600"
颜色识别,056-TDJS_Vision.Node._3_Detection.ColorDiscern.NodeParamFormColorDiscern.png,086-颜色识别.png,4,执行并确认,"0.4400,0.8500,0.9800,0.9900"
